record_uid,dataset,source_row_index,split,priority_group,magnitude_bin,magnitude,event_id,station_network,station_code,trace_name,waveform_key,component_order,channel_type,units,sampling_rate_hz,n_samples,duration_sec,has_catalog_p,catalog_p_sample,catalog_fields_for_evaluation_only,waveform_qc_status,waveform_error,resolved_waveform_key,waveform_shape,waveform_preprocess,feature_n_samples,feature_sampling_rate_hz,feature_duration_sec,feature_finite_fraction,feature_zero_fraction,feature_max_abs,feature_rms,feature_mad_scale,feature_spike_score,feature_clip_fraction,feature_onset_sec,feature_energy_onset_sec,feature_threshold_onset_sec,feature_energy_end_sec,feature_significant_duration_sec,feature_flag_nonfinite,feature_flag_zero_heavy,feature_flag_clipped,feature_flag_spiky,feature_qc_issue_count,catalog_p_sec,catalog_s_sec,noise_rms,signal_rms,snr_db,snr_bin,selection_status,selected_duration_sec,full_record_assignment,feature_fixed_unstable,selected_3s_psa_failure,spectral_stage,final_duration_sec
PNWAccelerometers:1167,PNWAccelerometers,1167,,m3_to_m4_small_event,3-4,3.27,uw10813143,UW,EVCC,"bucket1$1214,:3,:15001","bucket1$1214,:3,:15001",ENZ,EN,accelerometer,100.0,15001,150.01,True,5601,"catalog_p_sec,catalog_s_sec,catalog_p_sample,catalog_s_sample",ok,,PNWAccelerometers:1167,3x15001,linear_detrend_highpass_0.1hz,15001,100.0,150.01,1.0,0.0,24650.88933224949,772.8397112317479,45.98789958637762,536.0299025170415,6.666222251849876e-05,56.02,56.08,56.02,66.02,9.939999999999998,False,False,False,True,1,56.01,61.29,79.2724862559213,1872.1967342621897,27.464580079744557,>=10 dB,stable_candidate,15.0,False,False,True,full_record_fallback,150.01
PNWAccelerometers:1168,PNWAccelerometers,1168,,m3_to_m4_small_event,3-4,3.27,uw10813143,UW,EARN,"bucket1$1215,:3,:15001","bucket1$1215,:3,:15001",ENZ,EN,accelerometer,100.0,15001,150.01,True,5392,"catalog_p_sec,catalog_s_sec,catalog_p_sample,catalog_s_sample",ok,,PNWAccelerometers:1168,3x15001,linear_detrend_highpass_0.1hz,15001,100.0,150.01,1.0,0.0,8782.140054191726,384.581787892562,30.462934701391443,288.2893634601327,6.666222251849876e-05,53.91,53.95,53.91,63.55,9.599999999999994,False,False,False,True,1,53.92,57.47,45.108482677431894,963.1949405461195,26.589119475348042,>=10 dB,stable_candidate,14.64,False,False,True,full_record_fallback,150.01
PNWAccelerometers:1169,PNWAccelerometers,1169,,m3_to_m4_small_event,3-4,3.27,uw10813143,UW,BRKS,"bucket1$1216,:3,:15001","bucket1$1216,:3,:15001",ENZ,EN,accelerometer,100.0,15001,150.01,True,5586,"catalog_p_sec,catalog_s_sec,catalog_p_sample,catalog_s_sample",ok,,PNWAccelerometers:1169,3x15001,linear_detrend_highpass_0.1hz,15001,100.0,150.01,1.0,0.0,5503.867953295678,347.6011889449863,125.43502360197122,43.87823906950008,6.666222251849876e-05,0.7,0.7,61.15,128.4,127.7,False,False,False,False,0,55.86,61.13,198.17139231105827,703.5528222257784,11.005114977011248,>=10 dB,stable_candidate,131.4,False,True,True,arias_escalation,150.01
PNWAccelerometers:1170,PNWAccelerometers,1170,,m3_to_m4_small_event,3-4,3.27,uw10813143,UW,EVGW,"bucket1$1217,:3,:15001","bucket1$1217,:3,:15001",ENZ,EN,accelerometer,100.0,15001,150.01,True,5415,"catalog_p_sec,catalog_s_sec,catalog_p_sample,catalog_s_sample",ok,,PNWAccelerometers:1170,3x15001,linear_detrend_highpass_0.1hz,15001,100.0,150.01,1.0,0.0,7869.601642845289,498.47779515874464,36.5776094197483,215.14805827076495,6.666222251849876e-05,54.36,54.54,54.36,64.91,10.369999999999996,False,False,False,True,1,54.15,57.86,56.67731558904095,1243.9585196786427,26.82793252631263,>=10 dB,stable_candidate,15.55,False,False,True,full_record_fallback,150.01
PNWAccelerometers:1173,PNWAccelerometers,1173,,m3_to_m4_small_event,3-4,3.41,uw10830238,UW,GHW,"bucket1$1220,:3,:15001","bucket1$1220,:3,:15001",ENZ,EN,accelerometer,100.0,15001,150.01,True,5695,"catalog_p_sec,catalog_s_sec,catalog_p_sample,catalog_s_sample",ok,,PNWAccelerometers:1173,3x15001,linear_detrend_highpass_0.1hz,15001,100.0,150.01,1.0,0.0,2447.0279684516977,146.21204999554345,13.548069109597751,180.6182082964257,6.666222251849876e-05,27.3,58.14,27.3,77.69,19.549999999999997,False,False,False,True,1,56.95,62.53,16.846445020595475,349.0487861807636,26.32755726253763,>=10 dB,stable_candidate,42.0,False,True,True,full_record_fallback,150.01
PNWAccelerometers:1174,PNWAccelerometers,1174,,m3_to_m4_small_event,3-4,3.2,uw10830228,UW,QAW,"bucket1$1234,:3,:15001","bucket1$1234,:3,:15001",ENZ,EN,accelerometer,100.0,15001,150.01,True,5764,"catalog_p_sec,catalog_s_sec,catalog_p_sample,catalog_s_sample",ok,,PNWAccelerometers:1174,3x15001,linear_detrend_highpass_0.1hz,15001,100.0,150.01,1.0,0.0,1563.1705463202466,118.1444872872844,29.786372521032852,52.47938617622725,6.666222251849876e-05,11.16,11.16,57.65,126.64,115.48,False,False,False,False,0,57.64,64.48,48.74753867344673,251.48224155108446,14.251092604434966,>=10 dB,stable_candidate,150.01,False,True,False,primary,150.01
PNWAccelerometers:1175,PNWAccelerometers,1175,,m3_to_m4_small_event,3-4,3.2,uw10830228,UW,RAW,"bucket1$1221,:3,:15001","bucket1$1221,:3,:15001",ENZ,EN,accelerometer,100.0,15001,150.01,True,5496,"catalog_p_sec,catalog_s_sec,catalog_p_sample,catalog_s_sample",ok,,PNWAccelerometers:1175,3x15001,linear_detrend_highpass_0.1hz,15001,100.0,150.01,1.0,0.0,1304.2135016873517,93.16783166669204,5.983491184932107,217.96865097281,6.666222251849876e-05,39.71,56.05,39.71,68.66,12.61,False,False,False,True,1,54.96,58.87,10.402283829138998,231.58061712481748,26.951470149546175,>=10 dB,stable_candidate,33.95,False,False,True,full_record_fallback,150.01
PNWAccelerometers:1176,PNWAccelerometers,1176,,m3_to_m4_small_event,3-4,3.2,uw10830228,UW,WISC,"bucket1$1222,:3,:15001","bucket1$1222,:3,:15001",ENZ,EN,accelerometer,100.0,15001,150.01,True,5616,"catalog_p_sec,catalog_s_sec,catalog_p_sample,catalog_s_sample",ok,,PNWAccelerometers:1176,3x15001,linear_detrend_highpass_0.1hz,15001,100.0,150.01,1.0,0.0,2738.9978068403593,214.54887806109124,74.36785397656621,36.8303999696352,6.666222251849876e-05,1.56,1.56,56.22,126.68,125.12,False,False,False,False,0,56.16,61.6,115.41892997190325,448.6622701386906,11.792850114569038,>=10 dB,stable_candidate,129.68,False,True,False,primary,129.68
PNWAccelerometers:1177,PNWAccelerometers,1177,,m3_to_m4_small_event,3-4,3.2,uw10830228,UW,KNEL,"bucket1$1223,:3,:15001","bucket1$1223,:3,:15001",ENZ,EN,accelerometer,100.0,15001,150.01,True,5524,"catalog_p_sec,catalog_s_sec,catalog_p_sample,catalog_s_sample",ok,,PNWAccelerometers:1177,3x15001,linear_detrend_highpass_0.1hz,15001,100.0,150.01,1.0,0.0,10372.626307653934,472.3968706064836,110.25857139872892,94.07546439308857,6.666222251849876e-05,10.77,10.77,60.14,97.08,86.31,False,False,False,True,1,55.24,60.15,188.45062956559835,1075.8162311267995,15.130809993133905,>=10 dB,stable_candidate,150.01,False,True,False,primary,150.01
PNWAccelerometers:1178,PNWAccelerometers,1178,,m3_to_m4_small_event,3-4,3.2,uw10830228,UW,EGRN,"bucket1$1224,:3,:15001","bucket1$1224,:3,:15001",ENZ,EN,accelerometer,100.0,15001,150.01,True,6319,"catalog_p_sec,catalog_s_sec,catalog_p_sample,catalog_s_sample",ok,,PNWAccelerometers:1178,3x15001,linear_detrend_highpass_0.1hz,15001,100.0,150.01,1.0,0.0,3600.305270219673,213.3435265016618,13.27225643220189,271.2654994733534,6.666222251849876e-05,63.43,64.73,63.43,78.19,13.459999999999994,False,False,False,True,1,63.19,73.62,19.951113381260008,471.2874219371666,27.466374248786508,>=10 dB,stable_candidate,19.76,False,False,True,full_record_fallback,150.01
PNWAccelerometers:1179,PNWAccelerometers,1179,,m3_to_m4_small_event,3-4,3.2,uw10830228,UW,SVTR,"bucket1$1227,:3,:15001","bucket1$1227,:3,:15001",ENZ,EN,accelerometer,100.0,15001,150.01,True,5665,"catalog_p_sec,catalog_s_sec,catalog_p_sample,catalog_s_sample",ok,,PNWAccelerometers:1179,3x15001,linear_detrend_highpass_0.1hz,15001,100.0,150.01,1.0,0.0,2453.622185621521,177.99962993080172,8.975857513874166,273.35796962339333,6.666222251849876e-05,56.7,56.7,56.7,70.74,14.039999999999992,False,False,False,True,1,56.65,61.44,12.29572068357532,435.3048021848348,30.980789385882193,>=10 dB,stable_candidate,19.04,False,False,True,full_record_fallback,150.01
PNWAccelerometers:1180,PNWAccelerometers,1180,,m3_to_m4_small_event,3-4,3.2,uw10830228,UW,TKCO,"bucket1$1228,:3,:15001","bucket1$1228,:3,:15001",ENZ,EN,accelerometer,100.0,15001,150.01,True,5566,"catalog_p_sec,catalog_s_sec,catalog_p_sample,catalog_s_sample",ok,,PNWAccelerometers:1180,3x15001,linear_detrend_highpass_0.1hz,15001,100.0,150.01,1.0,0.0,1267.5808802679103,167.6146968411821,62.620666331103465,20.24221322663102,6.666222251849876e-05,0.75,0.75,,140.91,140.16,False,False,False,False,0,55.66,60.69,93.35982644260356,175.20812817675215,5.467884284322533,3-10 dB,stable_candidate,143.91,False,True,True,arias_escalation,150.01
PNWAccelerometers:1181,PNWAccelerometers,1181,,m3_to_m4_small_event,3-4,3.2,uw10830228,UW,HICC,"bucket1$1226,:3,:15001","bucket1$1226,:3,:15001",ENZ,EN,accelerometer,100.0,15001,150.01,True,5538,"catalog_p_sec,catalog_s_sec,catalog_p_sample,catalog_s_sample",ok,,PNWAccelerometers:1181,3x15001,linear_detrend_highpass_0.1hz,15001,100.0,150.01,1.0,0.0,2424.169405232208,151.05272657647652,16.12553389323041,150.3311097345985,6.666222251849876e-05,44.95,44.95,55.37,71.61,26.659999999999997,False,False,False,True,1,55.38,60.05,30.545248337059213,365.80001994018426,21.56600128916398,>=10 dB,stable_candidate,31.66,False,False,True,full_record_fallback,150.01
PNWAccelerometers:1182,PNWAccelerometers,1182,,m3_to_m4_small_event,3-4,3.2,uw10830228,UW,VVHS,"bucket1$1232,:3,:15001","bucket1$1232,:3,:15001",ENZ,EN,accelerometer,100.0,15001,150.01,True,5642,"catalog_p_sec,catalog_s_sec,catalog_p_sample,catalog_s_sample",ok,,PNWAccelerometers:1182,3x15001,linear_detrend_highpass_0.1hz,15001,100.0,150.01,1.0,0.0,5707.660942747163,364.8065901867652,18.2900361866069,312.0639502576089,6.666222251849876e-05,56.43,56.49,56.43,70.5,14.009999999999998,False,False,False,True,1,56.42,61.92,24.199071893248327,880.4196561659628,31.217820403979285,>=10 dB,stable_candidate,19.07,False,False,True,full_record_fallback,150.01
PNWAccelerometers:1183,PNWAccelerometers,1183,,m3_to_m4_small_event,3-4,3.2,uw10830228,UW,RHAZ,"bucket1$1225,:3,:15001","bucket1$1225,:3,:15001",ENZ,EN,accelerometer,100.0,15001,150.01,True,5314,"catalog_p_sec,catalog_s_sec,catalog_p_sample,catalog_s_sample",ok,,PNWAccelerometers:1183,3x15001,linear_detrend_highpass_0.1hz,15001,100.0,150.01,1.0,0.0,2064.428415781107,173.11901881285718,11.01121879085723,187.4840973548933,6.666222251849876e-05,53.14,53.17,53.14,64.87,11.700000000000005,False,False,False,True,1,53.14,56.98,19.219920847266053,431.4144356727205,27.022861565121538,>=10 dB,stable_candidate,16.73,False,False,True,full_record_fallback,150.01
PNWAccelerometers:1184,PNWAccelerometers,1184,,m3_to_m4_small_event,3-4,3.2,uw10830228,UW,MARY,"bucket1$1229,:3,:15001","bucket1$1229,:3,:15001",ENZ,EN,accelerometer,100.0,15001,150.01,True,5655,"catalog_p_sec,catalog_s_sec,catalog_p_sample,catalog_s_sample",ok,,PNWAccelerometers:1184,3x15001,linear_detrend_highpass_0.1hz,15001,100.0,150.01,1.0,0.0,1382.9713867400235,163.59266570941276,40.54690652985044,34.10793831391025,6.666222251849876e-05,17.57,17.57,39.07,128.86,111.29000000000002,False,False,False,False,0,56.55,62.37,152.99996800976126,320.711089922576,6.4284527543473935,3-10 dB,stable_candidate,116.3,False,True,True,full_record_fallback,150.01
PNWAccelerometers:1185,PNWAccelerometers,1185,,m3_to_m4_small_event,3-4,3.2,uw10830228,UW,SSS2,"bucket1$1230,:3,:15001","bucket1$1230,:3,:15001",ENZ,EN,accelerometer,100.0,15001,150.01,True,5690,"catalog_p_sec,catalog_s_sec,catalog_p_sample,catalog_s_sample",ok,,PNWAccelerometers:1185,3x15001,linear_detrend_highpass_0.1hz,15001,100.0,150.01,1.0,0.0,2306.4037126239123,384.74418752521126,170.52858602642465,13.525026896467187,6.666222251849876e-05,3.5,3.5,63.69,144.91,141.41,False,False,False,False,0,56.9,63.65,294.63269357206724,527.6489386110105,5.06128265429078,3-10 dB,stable_candidate,146.41,False,True,True,arias_escalation,150.01
PNWAccelerometers:1186,PNWAccelerometers,1186,,m3_to_m4_small_event,3-4,3.2,uw10830228,UW,KDK,"bucket1$1231,:3,:15001","bucket1$1231,:3,:15001",ENZ,EN,accelerometer,100.0,15001,150.01,True,5694,"catalog_p_sec,catalog_s_sec,catalog_p_sample,catalog_s_sample",ok,,PNWAccelerometers:1186,3x15001,linear_detrend_highpass_0.1hz,15001,100.0,150.01,1.0,0.0,2361.6692404516452,281.20555813435857,95.1497769640711,24.820544154753197,6.666222251849876e-05,3.22,3.22,58.89,132.6,129.38,False,False,False,False,0,56.94,63.71,194.35074103311538,425.7974994288543,6.812338115239868,3-10 dB,stable_candidate,134.38,False,True,True,arias_escalation,150.01
PNWAccelerometers:1187,PNWAccelerometers,1187,,m3_to_m4_small_event,3-4,3.2,uw10830228,UW,EARN,"bucket1$1235,:3,:15001","bucket1$1235,:3,:15001",ENZ,EN,accelerometer,100.0,15001,150.01,True,5736,"catalog_p_sec,catalog_s_sec,catalog_p_sample,catalog_s_sample",ok,,PNWAccelerometers:1187,3x15001,linear_detrend_highpass_0.1hz,15001,100.0,150.01,1.0,0.0,1362.9512233846986,115.5865007173626,32.79490664206436,41.559844589906845,6.666222251849876e-05,4.45,4.45,63.35,111.15,106.7,False,False,False,False,0,57.36,63.41,50.495957360926816,251.8703633780297,13.958409165231956,>=10 dB,stable_candidate,150.01,False,True,False,primary,150.01
PNWAccelerometers:1189,PNWAccelerometers,1189,,m3_to_m4_small_event,3-4,3.37,uw10811698,UW,CDMR,"bucket1$1238,:3,:15001","bucket1$1238,:3,:15001",ENZ,EN,accelerometer,100.0,15001,150.01,True,6321,"catalog_p_sec,catalog_s_sec,catalog_p_sample,catalog_s_sample",ok,,PNWAccelerometers:1189,3x15001,linear_detrend_highpass_0.1hz,15001,100.0,150.01,1.0,0.0,860.4627905473003,81.6886639930531,5.929445383857539,145.11690973490445,6.666222251849876e-05,63.2,63.32,63.2,86.29,22.97000000000001,False,False,False,True,1,63.21,72.81,4.160540320425625,181.74361710408084,32.806188641063244,>=10 dB,stable_candidate,28.09,False,False,True,full_record_fallback,150.01
PNWAccelerometers:1245,PNWAccelerometers,1245,,m3_to_m4_small_event,3-4,3.47,uw60449207,UW,COLT,"bucket1$1295,:3,:15001","bucket1$1295,:3,:15001",ENZ,EN,accelerometer,100.0,15001,150.01,True,5547,"catalog_p_sec,catalog_s_sec,catalog_p_sample,catalog_s_sample",ok,,PNWAccelerometers:1245,3x15001,linear_detrend_highpass_0.1hz,15001,100.0,150.01,1.0,0.0,2268.5088190369543,197.71573321839924,15.772781140138198,143.8242754325746,6.666222251849876e-05,55.49,55.7,55.49,68.7,13.0,False,False,False,True,1,55.47,59.39,20.623206477234376,489.86069617216043,27.514328109198104,>=10 dB,stable_candidate,18.21,False,False,True,full_record_fallback,150.01
PNWAccelerometers:1246,PNWAccelerometers,1246,,m3_to_m4_small_event,3-4,3.47,uw60449207,UW,PERL,"bucket1$1296,:3,:15001","bucket1$1296,:3,:15001",ENZ,EN,accelerometer,100.0,15001,150.01,True,5583,"catalog_p_sec,catalog_s_sec,catalog_p_sample,catalog_s_sample",ok,,PNWAccelerometers:1246,3x15001,linear_detrend_highpass_0.1hz,15001,100.0,150.01,1.0,0.0,7195.678653580675,499.7648120779926,18.72419980361138,384.298326713691,6.666222251849876e-05,55.84,57.93,55.84,68.0,10.07,False,False,False,True,1,55.83,59.95,22.539969098746678,1242.294853722917,34.82542739646588,>=10 dB,stable_candidate,17.16,False,False,True,full_record_fallback,150.01
PNWAccelerometers:1275,PNWAccelerometers,1275,,m3_to_m4_small_event,3-4,3.4,uw60404846,UW,EVCC,"bucket1$1326,:3,:15001","bucket1$1326,:3,:15001",ENZ,EN,accelerometer,100.0,15001,150.01,True,5667,"catalog_p_sec,catalog_s_sec,catalog_p_sample,catalog_s_sample",ok,,PNWAccelerometers:1275,3x15001,linear_detrend_highpass_0.1hz,15001,100.0,150.01,1.0,0.0,3629.1651491158727,299.9458316347438,28.705999160220895,126.42532067460516,6.666222251849876e-05,56.68,56.72,56.68,78.21,21.489999999999995,False,False,False,True,1,56.67,62.53,38.901978543142754,709.4490455216096,25.21899037552246,>=10 dB,stable_candidate,26.53,False,False,True,full_record_fallback,150.01
PNWAccelerometers:1276,PNWAccelerometers,1276,,m3_to_m4_small_event,3-4,3.4,uw60404846,UW,EVGW,"bucket1$1325,:3,:15001","bucket1$1325,:3,:15001",ENZ,EN,accelerometer,100.0,15001,150.01,True,5928,"catalog_p_sec,catalog_s_sec,catalog_p_sample,catalog_s_sample",ok,,PNWAccelerometers:1276,3x15001,linear_detrend_highpass_0.1hz,15001,100.0,150.01,1.0,0.0,1733.1369206206036,171.2332577533798,26.37773405926688,65.70454144114504,6.666222251849876e-05,26.26,26.26,59.45,82.38,56.11999999999999,False,False,False,False,0,59.28,67.09,39.66447373325973,386.0026226570674,19.763771179910627,>=10 dB,stable_candidate,62.0,False,True,True,full_record_fallback,150.01
PNWAccelerometers:1277,PNWAccelerometers,1277,,m3_to_m4_small_event,3-4,3.4,uw60404846,UW,BRKS,"bucket1$1327,:3,:15001","bucket1$1327,:3,:15001",ENZ,EN,accelerometer,100.0,15001,150.01,True,6130,"catalog_p_sec,catalog_s_sec,catalog_p_sample,catalog_s_sample",ok,,PNWAccelerometers:1277,3x15001,linear_detrend_highpass_0.1hz,15001,100.0,150.01,1.0,0.0,1376.140023796325,176.84709255099486,48.50696418076656,28.36994742998113,0.0001333244450369,4.29,4.29,70.39,140.71,136.42000000000002,False,False,False,False,0,61.3,70.36,55.969603302535006,360.0518213630275,16.168255668700912,>=10 dB,stable_candidate,141.42,False,True,True,arias_escalation,150.01
PNWAccelerometers:1278,PNWAccelerometers,1278,,m3_to_m4_small_event,3-4,3.4,uw60404846,UW,NOWS,"bucket1$1328,:3,:15001","bucket1$1328,:3,:15001",ENZ,EN,accelerometer,100.0,15001,150.01,True,6263,"catalog_p_sec,catalog_s_sec,catalog_p_sample,catalog_s_sample",ok,,PNWAccelerometers:1278,3x15001,linear_detrend_highpass_0.1hz,15001,100.0,150.01,1.0,0.0,307.14585605772453,26.39321682843955,4.677031684019159,65.67110868784663,6.666222251849876e-05,45.11,45.11,62.93,95.99,50.879999999999995,False,False,False,False,0,62.63,73.44,4.852816201108279,56.05209249486912,21.25195974263017,>=10 dB,stable_candidate,55.88,False,True,True,full_record_fallback,150.01
